Date,Open,High,Low,Closed Price, Volume,Buy Sell,Vn-index,Dowjones,Private trade volume
10/31/2007,164000,165000,162000,162000,140770,-92390,1065.09,13792.46973,0
11/1/2007,162000,164000,158000,161000,195380,-75360,1075.92,13930.00977,0
11/2/2007,161000,160000,157000,157000,197100,-60260,1066.63,13567.87012,0
11/5/2007,157000,164000,164000,164000,66650,1190700,1047.15,13595.09961,0
11/6/2007,164000,172000,172000,172000,70540,1326720,1031.71,13543.40039,0
11/7/2007,172000,170000,166000,166000,444180,-641980,1031.2,13660.94043,0
11/8/2007,166000,165000,162000,162000,170020,-60460,1026.47,13300.01953,0
11/9/2007,162000,168000,162000,168000,316190,171140,1018.29,13266.29004,0
11/12/2007,168000,166000,163000,163000,96340,-102000,1006.12,13042.74023,0
11/13/2007,163000,161000,155000,155000,167790,-103580,973.59,12987.54981,0
11/14/2007,155000,162000,159000,159000,296610,156610,993.75,13307.08984,0
11/15/2007,159000,160000,158000,160000,138080,-10570,1002.71,13231.00977,0
11/16/2007,160000,160000,158000,159000,93360,5540,998.22,13110.04981,0
11/19/2007,159000,160000,159000,159000,103860,-98360,998.75,13176.79004,0
11/20/2007,159000,158000,156000,157000,73830,65480,983.52,12958.44043,0
11/21/2007,157000,155000,152000,155000,193670,28880,971.49,13010.13965,0
11/22/2007,155000,158000,155000,155000,60070,-15560,977.17,12799.04004,0
11/23/2007,155000,162000,162000,162000,122430,476660,975.92,12980.87988,0
11/26/2007,162000,170000,165000,170000,594620,33550,991.38,12743.44043,0
11/27/2007,170000,170000,166000,169000,359580,-211640,988.08,12958.44043,0
11/28/2007,169000,168000,165000,165000,237300,-120940,984.57,13289.4502,0
11/29/2007,165000,167000,160000,160000,319240,26830,980.09,13311.73047,0
11/30/2007,160000,161000,159000,160000,485160,-57370,972.35,13371.71973,0
12/3/2007,160000,162000,157000,160000,181120,-159400,987.96,13314.57031,0
12/4/2007,160000,161000,160000,160000,241890,-67410,988.91,13248.73047,0
12/5/2007,160000,160000,157000,157000,263870,264310,976.21,13444.95996,0
12/6/2007,157000,158000,156000,157000,164670,-206020,974.46,13619.88965,0
12/7/2007,157000,159000,156000,157000,402370,-43650,974.63,13625.58008,0
12/10/2007,157000,158000,155000,155000,182810,-223770,958.48,13727.03027,0
12/11/2007,155000,154000,151000,153000,297280,83920,941.04,13432.76953,0
12/12/2007,153000,158000,154000,156000,127990,89190,946.32,13473.90039,0
12/13/2007,156000,157000,155000,155000,303550,-48090,930.36,13517.95996,0
12/14/2007,155000,156000,154000,,18551,-51310,922.09,13339.84961,0
12/17/2007,156000,155000,154000,155000,157580,-33700,911.15,13167.2002,0
12/18/2007,155000,156000,154000,156000,154370,-2200,919.6,13232.46973,0
